Day,Date,MLD_A,MLD_B,MLD_C,IN_PH,IN_DO,IN_TSS,IN_COD,IN_BOD,IN_MPN,OUT_PH,OUT_DO,OUT_TSS,OUT_COD,OUT_BOD,OUT_MPN,
243,29-Nov-19,121,108,107,7.18,0,212,224,123,7.9,7.29,4,47,88,28,7800,
244,30-Nov-19,118,102,102,7.21,0,221,232,135,7,7.39,4.2,45,80,25,8100,
,,,,,,,,,,,,,,,,,
245,01-Dec-19,122.17,101.93,105.96,7.19,0,220,240,135,4.7,7.3,4.1,46,80,29,0.047,
246,02-Dec-19,119.7,104.18,103.54,7.19,0,207,224,123,11,7.36,4,42,72,25,0.081,
247,03-Dec-19,128.54,107.27,106.97,7.2,0,223,232,130,17,7.31,4.2,39,64,24,0.055,
248,04-Dec-19,126.17,110.63,110.23,7.18,0,203,216,108,26,7.31,4.1,37,72,26,0.068,
249,05-Dec-19,119.88,107.07,105.15,7.17,0,257,280,145,17,7.37,4.2,36,80,28,0.056,
250,06-Dec-19,104.13,97.3,92.17,7.2,0,209,224,125,35,7.38,4,41,76,25,0.082,
251,07-Dec-19,99.2,93.48,86.71,7.17,0,210,232,128,22,7.38,4.3,44,72,29,0.06,
252,08-Dec-19,101.87,93.2,89.43,7.18,0,221,232,125,28,7.36,4.1,42,64,28,0.091,
253,09-Dec-19,110.31,99.43,96.19,7.17,0,216,240,135,21,7.32,4,39,80,26,0.093,
254,10-Dec-19,112.54,100.84,95.18,7.23,0,319,344,165,28,7.38,4.2,47,80,25,0.036,
255,11-Dec-19,113.07,99.91,98.56,7.18,0,201,216,120,21,7.38,4,41,72,28,0.064,
256,12-Dec-19,102.45,92.25,86.85,7.24,0,212,232,130,28,7.37,4.3,38,64,27,0.056,
257,13-Dec-19,103.4,89.4,88.09,7.23,0,207,224,125,35,7.36,4,46,84,26,0.061,
258,14-Dec-19,91.01,83.6,76.17,7.16,0,214,232,128,28,7.36,4.3,37,64,27,0.068,
259,15-Dec-19,113.43,103.04,104.23,7.2,0,209,224,115,21,7.36,4.2,47,72,25,0.061,
260,16-Dec-19,116.99,108.64,105.13,7.18,0,303,320,155,35,7.32,4.3,42,76,28,0.081,
261,17-Dec-19,120,113,89,7.19,0,271,304,140,28,7.33,4.2,44,80,26,0.082,
262,18-Dec-19,123.3,110.63,74.77,7.18,0,211,240,118,21,7.37,4,46,68,24,0.06,
263,19-Dec-19,83.6,83.89,51.5,7.19,0,218,232,120,35,7.33,4.3,38,64,25,0.061,
264,20-Dec-19,86.04,73.03,48.93,7.18,0,204,232,118,28,7.38,4.4,36,72,21,0.056,
265,21-Dec-19,86.36,77.36,48.81,7.15,0,235,256,135,43,7.36,4.6,43,80,27,0.082,
266,22-Dec-19,97.3,94.93,61.35,7.27,0,226,248,125,35,7.41,4.5,38,64,26,0.06,
267,23-Dec-19,94.98,97.8,62.4,7.23,0,256,280,140,28,7.35,4.3,47,80,28,0.081,
268,24-Dec-19,101.1,99.4,65.56,7.26,0,215,232,115,22,7.41,4.4,39,72,25,0.061,
269,25-Dec-19,109.37,104.58,68.32,7.24,0,209,224,105,17,7.39,4.3,36,64,24,0.068,
270,26-Dec-19,93.77,91,58.62,7.13,0,190,208,93,22,7.4,4.5,42,80,26,0.056,
271,27-Dec-19,103.47,99.2,67.63,7.21,0,183,208,135,35,7.46,4.2,44,64,27,0.06,
272,28-Dec-19,102,99,67,7.24,0,223,240,145,43,7.4,4.6,40,68,25,0.086,
273,29-Dec-19,91,84,57,7.21,0,176,216,103,28,7.39,4.4,43,64,24,0.06,
274,30-Dec-19,100.11,93.08,61.21,7.2,0,217,304,153,43,7.38,4.5,46,80,25,0.056,
275,31-Dec-19,106.95,97.88,61.07,7.24,0,216,186,120,85,7.4,4.2,47,72,28,0.061,
,,,,,,,,,,,,,,,,,
276,01-Jan-20,101.73,97.89,63.89,7.24,0,176,208,115,21,7.39,4.1,46,76,27,0.06,
277,02-Jan-20,79.77,76.38,52.01,7.21,0,210,232,120,35,7.36,4.5,48,80,29,0.06,
278,03-Jan-20,66.23,77.5,49.25,7.21,0,223,240,145,43,7.37,4,40,64,26,0.07,
279,04-Jan-20,86.55,102.97,65.53,7.25,0,177,216,115,21,7.39,4.1,42,80,27,0.08,
280,05-Jan-20,79.92,86.26,55.4,7.21,0,179,232,145,15,7.38,4.2,43,64,25,0.08,
281,06-Jan-20,96.22,95.98,63.16,7.25,0,212,240,140,21,7.39,4.1,46,80,26,0.08,
